Brand, Product Name, Price
MSI,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G Video Card,31|818
GIGABYTE,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 Video Card,28|461
ZOTAC,ZOTAC GeForce GTX 1060 AMP!| ZT-P10600B-10M| 6GB GDDR5 Super Compact Dual-Fan IceStorm Cooling FREEZE Fan Stop,17|693
ASUS,ASUS Radeon RX 550 4G GDDR5 DP HDMI DVI AMD Graphics Card (RX550-4G),6|779
EVGA,EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 03G-P4-6162-KR| 3GB GDDR5| DX12 OSD Support (PXOC),14|619
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme Core 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810F-10P,51|647
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD Video Card,11|039
PNY Technologies| Inc.,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB Video Card,10|457
EVGA,EVGA GeForce GTX 1060 FTW2 GAMING| 9GHz| 06G-P4-6768-KR| 6GB GDDR5| iCX - 9 Thermal Sensors & LED G/P/M,21|428
ZOTAC,ZOTAC GeForce GTX 1050 DirectX 12 ZT-P10500A-10L Video Card,7|792
XFX,XFX Radeon R7 360 DirectX 12 R7-360P-2SF5 Core Edition Video Card,5|239
EVGA,EVGA GeForce GTX 1080 Ti FTW3 GAMING| 11G-P4-6696-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,52|083
MSI,MSI GeForce GTX 1080 Ti DirectX 12 GTX 1080 Ti DUKE 11G OC Video Card,48|828
